"","ID","starttime_dmy","completiontime_dmy","consent","accuracy","accuracy_asin","recall","recall_asin","farmingexp_YN","sheepexp_years","sheeproles_type","sheeproles_details","sheeplamenessexp_prev","UP","SS","LS","NH","WBS","WBW","RM","SW","O","symptoms_otherdetails","timesplayed","tutorial","cpu_setup","controlsprobs_YN","controlsprobs_descrip","strategy_type","strategy_otherdetails","moving_type","moving_otherdetails","timespent","Please.share.any.general.feedback.main.thoughts.after.playing.the.game.below."
"13",20,2021-05-21 17:08:55,2021-05-21 17:38:05,"I agree",91,1.2661036727795,91,1.2661036727795,"Yes",20,"Stockman/woman/person;Other;","Livestock scientist","Between 5 and 10%",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,0,"Yes, and observed the sheep walking","Mouse","Yes","I had to refresh the game before the w/a/s/d keys would work","Other","Observed sub-sets of animals (from a medium distance) and identified those with symptoms before moving onto another subset. Then spent some time at the end observing the whole flock from afar to check if I had missed any lame sheep.","Semi-randomly",NA,9.56666666666667,NA
"14",21,2021-05-21 19:18:19,2021-05-21 19:36:54,"I agree",100,1.5707963267949,79,1.09476250873357,"No",NA,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,0,"Yes, and observed the sheep walking","Trackpad","No","no","Zoomer",NA,"Semi-randomly",NA,7.96666666666667,NA
"15",22,2021-05-26 16:30:28,2021-05-26 18:07:48,"I agree",81,1.11976951499863,100,1.5707963267949,"Yes",5,"Stockman/woman/person;Farmer;",NA,"Between 5 and 10%",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,1,"Yes, and observed the sheep walking","Mouse","Yes","Zoom is a bit keen and goes too far in sometimes","Zoomer",NA,"Semi-randomly",NA,8.65,"Lame sheep aren't always that easy to spot in a field"
"16",23,2021-05-27 16:25:56,2021-05-27 16:41:34,"I agree",100,1.5707963267949,35,0.633051836389749,"No",NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,"Yes, and observed the sheep walking","Unknown","No","None","Zoomer",NA,"Randomly",NA,7.23333333333333,NA
"17",24,2021-05-27 16:24:58,2021-05-27 16:41:48,"I agree",100,1.5707963267949,50,0.785398163397448,"Yes",0,"Veterinarian;",NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,0,"Yes, and observed the sheep walking","Mouse","No","NA","Other","Stayed zoomed out to wait for someone to move then zoomed in","Other","Which ever moved next",8.18333333333333,"Would be good to get sheep to move, maybe by walking a person around so they walk away from you as it is difficult to assess them systematically. ."
"18",25,2021-05-27 16:25:14,2021-05-27 16:41:58,"I agree",100,1.5707963267949,50,0.785398163397448,"No",NA,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,0,"Yes, and observed the sheep walking","Trackpad","No","None","Other","Observed whole flock until one moved, then zoomed in to watch it from the side","Other","Moved to those who were moving and then returned to observe whole flock",10,NA
"19",26,2021-05-27 16:24:57,2021-05-27 16:42:13,"I agree",50,0.785398163397448,36,0.643501108793284,"No",NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,"Yes, but didn't observe the sheep walking","Mouse","No","N/A","Zoomer",NA,"Semi-randomly",NA,5.31666666666667,NA
"20",27,2021-05-27 16:24:57,2021-05-27 16:42:18,"I agree",71,1.00212082343239,33,0.611939714633867,"Yes",20,"Veterinarian;",NA,"Over 10%",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,0,"Yes, but didn't observe the sheep walking","Unknown","No","they were abit clunky using keys when we are use to using the mouse","Zoomer",NA,"Semi-randomly",NA,6.48333333333333,"i got annoyed waiting for the sheep to move. in a flock i would walk around them and the sheep would move."
"21",28,2021-05-27 16:24:59,2021-05-27 16:46:32,"I agree",100,1.5707963267949,10,0.321750554396642,"Yes",20,"Farmer;Veterinarian;",NA,"Over 10%",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,"Yes, but didn't observe the sheep walking","Trackpad","Yes","Controls wouldn't work to begin with, had to restart to work","Zoomer",NA,"Randomly",NA,4.43333333333333,NA
"22",29,2021-05-27 16:25:22,2021-05-27 16:46:54,"I agree",67,0.958856612161029,83,1.14580754383249,"Yes",0,"Other;","Research with lame cows","Between 5 and 10%",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,0,"Yes, and observed the sheep walking","Unknown","Yes","hard to move around. Sheep walk for short periods of time so when i zoom them, they were already grazing","Up-close",NA,"Randomly",NA,8.38333333333333,NA
"23",30,2021-05-27 16:47:32,2021-05-27 16:49:02,"I agree",100,1.5707963267949,69,0.980296311634579,"No",NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,"Yes, but didn't observe the sheep walking","Mouse","No","N/A","Zoomer",NA,"Randomly",NA,3.73333333333333,NA
"24",31,2021-05-27 16:48:30,2021-05-27 16:59:05,"I agree",50,0.785398163397448,38,0.664215237877967,"Yes",19,"Veterinarian;",NA,"Between 5 and 10%",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,0,"No","Unknown","No","N/A","Zoomer",NA,"Randomly",NA,10,NA
"25",32,2021-06-02 12:37:33,2021-06-02 12:45:36,"I agree",57,0.855628870752376,4,0.201357920790331,"No",NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,0,"Yes, and observed the sheep walking","Trackpad","No","no","Other","looked at a small group and compared behaviour","Linear",NA,4.73333333333333,NA
"26",33,2021-06-03 09:14:49,2021-06-03 09:46:39,"I agree",75,1.0471975511966,25,0.523598775598299,"Yes",20,"Farmer;Stockman/woman/person;Other;","Student","Under 2%",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,0,"Yes, but didn't observe the sheep walking","Unknown","No","no problems","Zoomer",NA,"Randomly",NA,2.5,NA
"27",34,2021-06-03 10:27:56,2021-06-03 11:04:03,"I agree",100,1.5707963267949,33,0.611939714633867,"Yes",12,"Farmer;",NA,"Between 2 and 5%",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,0,"Yes, but didn't observe the sheep walking","Mouse","No","none","Zoomer",NA,"Semi-randomly",NA,2.21666666666667,"The graphics werent very clear - it was hard to see if they were holding a leg slightly up. In reality you would move the sheep to look for lameness"
"28",35,2021-06-04 15:43:24,2021-06-04 16:19:22,"I agree",92,1.28403977458335,80,1.10714871779409,"Yes",23,"Veterinarian;",NA,"Between 5 and 10%",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"I found posture difficult to assess using the animation.",0,"Yes, and observed the sheep walking","Trackpad","Yes","difficult to zoom in and keep it zoomed in. click on selected sheep did not work first time  and you needed to be close to the sheep for it to work","Other","A bit of both. had planned to observe form a distance and zoom in but the controls did not work well enough to allow htis.  So then observed at close range but difficult to identify which sheep you had looked at and which were new or when you had seen all of them","Semi-randomly",NA,10,"I would have enjoyed this game better if the controls worked better . the sheep animations are good, but to a trained eye i found them confusing , eg none of them stood grazing in a normal posture because they were all jiggling their legs all the timee"
"29",37,2021-06-07 11:05:12,2021-06-07 11:32:50,"I agree",100,1.5707963267949,62,0.90658108891693,"Yes",3,"Farmer;",NA,"Between 2 and 5%",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,"Yes, and observed the sheep walking","Mouse","No","no","Zoomer",NA,"Semi-randomly",NA,5.16666666666667,NA
"30",38,2021-06-07 12:36:29,2021-06-07 12:56:58,"I agree",55,0.835481873978228,60,0.886077123792614,"Yes",10,"Farmer;",NA,"Between 2 and 5%",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,4,"Yes, but didn't observe the sheep walking","Mouse","No",".","Zoomer",NA,"Semi-randomly",NA,1.68333333333333,"none"
"31",39,2021-06-07 12:56:58,2021-06-07 13:51:23,"I agree",100,1.5707963267949,75,1.0471975511966,"No",NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,0,"Yes, but didn't observe the sheep walking","Mouse","No","-","Other","observed whole flock until one started to move, then zoomed on to the one moving to observe how it walked. some didn't move at all which i also took as an indication.","Semi-randomly",NA,7.51666666666667,NA
"32",40,2021-06-07 14:31:54,2021-06-07 14:35:10,"I agree",90,1.24904577239825,60,0.886077123792614,"Yes",6,"Farmer;Veterinarian;",NA,"Between 5 and 10%",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,0,"Yes, but didn't observe the sheep walking","Unknown","No","No","Other","Saw the lamest one then watched the others in a group close up","Linear",NA,3.53333333333333,NA
"33",41,2021-06-08 09:40:41,2021-06-08 09:52:50,"I agree",70,0.991156586431192,58,0.865743489873404,"Yes",2,"Stockman/woman/person;",NA,"Between 5 and 10%",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,1,"Yes, but didn't observe the sheep walking","Unknown","No","no","Up-close",NA,"Semi-randomly",NA,2.63333333333333,NA
"34",42,2021-06-08 11:14:26,2021-06-08 11:29:38,"I agree",60,0.886077123792614,25,0.523598775598299,"No",NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,1,"Yes, but didn't observe the sheep walking","Unknown","Yes","Sheep not moving around very much","Other","Mixture of both these strategies","Semi-randomly",NA,4.28333333333333,NA
"35",43,2021-06-08 12:36:43,2021-06-08 13:02:13,"I agree",56,0.845543104594842,67,0.958856612161029,"Yes",10,"Stockman/woman/person;",NA,"Between 2 and 5%",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"sheep out the backl or sides of the flock standing alons, observed and sprayed once locomotion confimred lameness",0,"No","Mouse","No","no issues","Zoomer",NA,"Linear",NA,1.58333333333333,"it was entertaiing but i felt there could be improvements made as you chose the right animals maybe a sound so you know your going the right way or a counter in the corner"
"36",44,2021-06-08 15:14:40,2021-06-08 15:46:24,"I agree",7,0.267763327157194,7,0.267763327157194,"Yes",1,"Farmer;",NA,"Between 5 and 10%",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,0,"Yes, and observed the sheep walking","Mouse","No","n/a","Zoomer",NA,"Semi-randomly",NA,9.05,"took a long while for the seep to start moving in the tutorial that i wondered if it was going to move, but I think that's the point of the questions asking about if I watched the sheep move. i enjoyed the game as it allowed me to get a better sense of my knowledge and skills. it mimicked sheep well but was sometimes difficult to tell if a normal movement of sheep we a game lag."
"37",45,2021-06-09 08:33:38,2021-06-09 08:44:01,"I agree",57,0.855628870752376,27,0.546400564137972,"No",NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,"Yes, but didn't observe the sheep walking","Mouse","No","No problems","Up-close",NA,"Randomly",NA,3.66666666666667,NA
"38",46,2021-06-09 11:02:37,2021-06-09 11:13:11,"I agree",71,1.00212082343239,5,0.225513405898131,"No",NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,0,"Yes, and observed the sheep walking","Trackpad","No","0","Zoomer",NA,"Semi-randomly",NA,4.86666666666667,NA
