Expense,Spend (£)
Game Developer (hired at a rate £20.55ph broken down into £18.43ph basic rate + £2.21ph holiday pay),3674
3D artist/animator (hired at a rate £20.55ph),935
Digital models from the Unity Asset store that were used in the game,66
"Participant incentivisation (£70 gift vouchers to reimburse/thank early-phase interviewees; £40 for study questionnaire testers, £150 on 3 x £50 Chelford Farm Supplies vouchers as lottery prizes/incentives for participating in the final study)",260
Promoting the study in the National Sheep Association’s newsletter,42
TOTAL,4978
